outlier_strategy,model_name,model_type,dataset_size,mean_rmse,std_rmse,training_time_sec,memory_used_mb
['iqr_remove'],LinearRegression,trees_models,691,6.3816,0.6313,6.66,0.0
['iqr_remove'],LinearRegression,linear_models,691,6.396,0.6418,4.9,0.03
"['gost_binar', 'combine']",LinearRegression,linear_models,770,6.4902,0.384,4.62,0.26
"['gost_binar', 'combine']",LinearRegression,trees_models,770,6.504,0.377,8.54,0.17
['gost_binar'],LinearRegression,trees_models,781,6.585,0.3709,8.3,0.2
['gost_binar'],LinearRegression,linear_models,781,6.5861,0.3865,3.89,0.08
['abnormal'],LinearRegression,linear_models,770,6.8253,0.3264,3.78,2.02
['abnormal'],LinearRegression,trees_models,770,6.8281,0.3032,4.56,0.5
['combine'],LinearRegression,linear_models,770,6.8368,0.3335,3.69,0.02
['combine'],LinearRegression,trees_models,770,6.8385,0.3127,5.63,0.04
